document,summary
"The English pairing of Judd Trump and Barry Hawkins topped Group C and come up against Mark Allen and Joe Swail, runners-up in Group D, in Wuxi. Group A winners Wales, with Mark Williams and Ryan Day, play Group B runners-up China A, who have Ding Junhui and Liang Wenbo in their team. Holders China B against Belgium and Thailand v Iran complete the line-up. At the previous event in 2015, teenage Chinese duo Zhou Yuelong and Yan Bingtao, now 17 and 19 respectively, shocked Scotland's former world champion John Higgins and Stephen Maguire to claim the title. This year, the Scots, who had Anthony McGill in place of Maguire, failed to reach the knockout stages after finishing third in Group D.",England will face Northern Ireland in Saturday's quarter-finals of the Snooker World Cup in China.
"Kuba Moczyk, 22, died in hospital after he was knocked out in an unlicensed fight at the Tower Complex, Great Yarmouth, Norfolk, on 19 November. A memorial mass has been held at St Mary's Church in the town. Father Philip Shryane told the congregation Mr Moczyk' was a ""good man"" whose ""life was boxing"". More on this story and others from Norfolk He said Mr Moczyk was ""a young man with a good heart, with so much to give and so much to look forward to... but always a gentle smile"". His uncle, Marcin Smigaj gave a tribute, in Polish, on behalf of the family. Mr Moczyk was due to be cremated. Mr Moczyk, originally from Poland, worked at a chicken factory and lived in the town. His trainer Scott Osinski said earlier that Mr Moczyk was winning the fight when he took the fatal blow. His opponent is believed to be aged 17.","Friends and family of a boxer with a ""gentle smile"", who died after being knocked out in his first fight, have attended a memorial mass."
"They beat Wales and Australia to finish second to England in Group B and cannot be caught in the overall standings. England added a 10-7 win over Australia and 24-5 success over Wales to their 31-10 victory against Fiji. England take on Scotland in Sunday's quarter-finals while Fiji face France. South Africa will face Argentina in the last eight after winning all of their pool matches while the United States will play New Zealand. Wales lost to Australia, Fiji and England to finish bottom of Pool B on Saturday. Scotland beat Kenya and Portugal and drew with France to come second to the French in Pool C. Rugby sevens will feature for the first time at the Olympic Games later this year in Rio.",Fiji lost to hosts England in their first game at the London Sevens but bounced back to reach the quarter-finals and retain their World Sevens Series title in the process.
"Ardit Ferizi from Kosovo pleaded guilty to charges of providing material support to America's enemies, at a court hearing in Virginia. The computer hacker shared the personal data of more than 1,000 American military and government personnel. The jail term imposed by the US court is the maximum sentence for his crime. Ferizi, who was known online as Th3Dir3ctorY, was arrested in Malaysia in October 2015 and extradited to the US in January this year. Speaking after the verdict, US Assistant Attorney General John Carlin described the attack as carrying a very real and dangerous threat to US national security. In a statement in June, the US Department of Justice said the case was the first of its kind and represented ""the nexus of the terror and cyber-threats"". It said Ferizi handed the list to IS knowing it could incite the group to attack the individuals named in it. Information about the names, email addresses, passwords, locations and phone numbers for about 1,350 military personnel and federal staff came from several servers that Ferizi hacked into. He targeted both machines in US government offices and corporate computers. After he has served his sentence, he will be deported to Kosovo and barred from re-entering the US.",A 21-year-old has been sentenced to 20 years in prison in the US after passing details on American military personnel to so-called Islamic State (IS).
"Snapchat confirmed the figure following a report in the Financial Times. Last week, Facebook said it was now registering eight billion views a day of video material posted on its social media network. However, different platforms do not use the same criteria when counting views - Facebook counts videos viewed for three seconds or longer. YouTube only charges advertisers if a video is viewed for 30 seconds, and while Snapchat does not say how long a video must play in order to count, a recent report said advertisers were being charged even if their ad was viewed for less than one second. According to Snapchat, more than 60% of 13- to 34 year-old smartphone owners in the US use the service, which is available only on mobile platforms. Chief executive Evan Spiegel told Bloomberg in May that videos had reached two billion hits per day. In 2013, Snapchat turned down a $3bn (Â£2bn) acquisition offer from Facebook, according to the Wall Street Journal.",The number of videos viewed every day on messaging app Snapchat has tripled since May this year to six billion.
"At least 290 people were killed and hundreds more injured when the 6.2-magnitude quake struck in the early hours of Wednesday, 100km (65 miles) north-east of Rome. The town of Amatrice was among the worst affected areas. The service at St Andrew's Cathedral was led by the Archbishop of Glasgow, Philip Tartaglia. It follows a similar event in Edinburgh on Sunday. Ronnie Convery, director of communications for the Archdiocese of Glasgow, said there had been wide interest in the service from Scotland's Italian community. ""We are looking at something like 400 new arrivals from Italy every month at the moment in Glasgow and Edinburgh,"" he said. ""It's those people I notice on social media who have really taken up the information about the mass today. ""It's also interesting that in many cases people are not necessarily practicing Catholics but they just want to have that opportunity to be together, to meet, to do something.""",A mass has been held in Glasgow to remember the victims of last week's earthquake in central Italy.
"In a statement, the company said the move will hit next year's profit by about £15m. In addition, if the pound averages $1.20 over the financial year, it may lose another £20m. Overnight on Friday the pound temporarily plunged by 6%, in a flash crash that is thought to have been triggered by automated trading. Shares in Sports Direct closed down 9% on Friday. The company had expected to report underlying profit of £300m based on the pound trading at $1.30 against the dollar. However, the retailer said that ""extreme movements overnight"" would result ""in a negative impact of approximately £15m"" on its results for the current financial year. The swings overnight hit the company's hedging arrangements, which are designed to protect a business against volatile currency prices. It also sustained a large loss in its last financial year because of currency movements. In that case, because of a fall in the value of the pound against the euro, it took a £65m hit. As a result, Sports Direct reported underlying earnings of £381.4m for the year to 24 April against expectations of £420m, resulting in staff missing out on a bonus. It has been a tumultuous year for Sports Direct which has been criticised for working conditions at its Shirebrook distribution centre. Most recently, its chief executive Dave Forsey stepped down and was replaced by Mike Ashley, the founder and majority shareholder of the retail chain. The company has an acting finance director after its former financial chief Bob Mellors stepped down in December 2013 after a decade with the business. Matt Pearson was appointed as interim chief financial officer on 2 June 2015.",Sports Direct has warned that the extreme swings in the pound overnight will hit its profits.
"The host nation are one of eight countries competing in Glasgow to win promotion to the sport's top division. Scotland will face France, Portugal and Ukraine in Pool A, with the overall championship winners and runners-up elevated to the top tier. ""I honestly think home advantage does help,"" Forsyth said. ""It gives you that buzz of playing in front of friends and family who don't often get to come see you."" The forward is the son of national head coach Derek Forsyth, and one of only two Scots in the GB hockey squad. The 25-year-old is also the youngest player to reach 50 appearances for the Blue Sticks, and hopes hosting the continental tournament will help raise the sport's profile in his homeland. Scottish hockey participation has risen by 40% since the creation of the National Hockey Centre ahead of the 2014 Glasgow Commonwealth Games. ""Once you come see it, you get a totally different opinion on it and I think that's really important,"" Forsyth added. ""There's more to it than just a stick and a ball."" Captain Chris Grassick says the Scots head into the tournament buoyed by confidence, after narrowly missing out on a World Cup place with a 1-1 draw against Canada at the World League semi-final tournament in June. Scotland begin their campaign against France on Sunday, with the final held on Saturday, 12 August. ""We've trained really hard since the World League in London,"" Grassick, who plays for Surbiton, said. ""It'll be a good test against France here. We're the underdogs for that game on paper but we'll back ourselves when it comes down to it. ""Playing at home brings different pressures. There's an expectation from the crowd for you to turn up and deliver from the start. We've got to focus on our play and not get too carried away.""",Forward Alan Forsyth hopes playing in front of a home crowd will boost Scotland's chances at this month's Men's EuroHockey Championships II.
"Charlie Jermyn died in May, about 30 hours after he was born in his parents' toilet in Penryn, Cornwall. Microbiologist Dr James Gray told the inquest in Truro that Charlie had shown some signs of illness but he was not sent to hospital for treatment. Sepsis happens when the body's immune system goes into overdrive. More on this story and other news from Devon and Cornwall Charlie's parents went to the Royal Cornwall Hospital in Truro on 8 May when Hayley Jermyn was heavily pregnant. The couple were worried the baby would arrive quickly like one of their other children. Mrs Jermyn was assessed by midwife Jane Calvin, who said the mum-to-be was ""not in established labour"" when she examined her five hours after arriving. ""She came in at 22:00 and by the time I got to examine her at 03:00, in all that time nothing had changed,"" she said. Ms Calvin told the inquest there was ""no sign of infection anywhere"" and ""I advised her to go home and get some rest"". Hours later Charlie was born at home but he died of sepsis on 10 May. Dr Gray said: ""If Charlie had been in hospital at a time when, or soon after, he first showed clinical signs of early-onset sepsis he would have received intravenous antibiotics at least 12 hours, and maybe more than 15 hours, before he died. ""In my opinion, he would, on balance of probability, have survived in such circumstances."" However, Dr Gray said he it was ""impossible to say"" what condition Charlie might have been left in if he had survived, for example he might have been left with brain damage. He added that the form of Streptococcal infection Charlie had was ""a very serious condition and has a high mortality rate"". The inquest continues.","A baby who was born in a toilet and later died of sepsis could have survived if he had been given antibiotics, an inquest has heard."
"Tom Hardy and Russell Brand have also pulled their fingers out - four to be precise - for the #1in4 campaign. Alison Kirkham, the BBC's controller of factual commissioning, said one in four were affected by mental health issues. ""I'm delighted so many high-profile people have come together to raise awareness of this important cause."" Radio 1's Nick Grimshaw and Frozen voice star Kristen Bell have also snapped their digits to show solidarity. ""I wanted to get involved with the #1in4 campaign to help people realise they're not alone,"" said Grimshaw. ""Having mental health issues is nothing to be ashamed about."" The initiative accompanies the BBC's Minds Matter season, a range of programmes across TV and radio about mental health. They include Mind Over Marathon, a documentary featuring the Duke of Cambridge that will air later on BBC One. Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.",Broadchurch stars David Tennant and Olivia Colman have posted selfies of themselves to show their support for a BBC mental health initiative.
"Davies, 47, led Forest to successive play-off campaigns while at the City Ground but had an uneasy relationship with the board and was sacked in June. When asked if he would go back to work for a new regime, Davies told BBC Late Kick Off: ""I'd be delighted to go back. I have great feelings for the club. ""I did want to get them to the Premier League. I'd love to finish that job."" Forest have scored just 22 goals in 27 Championship games this season Forest, who have lost nine of their last 11 games, are third from bottom in the Championship and sit four points adrift of safety. Manager Steve Cotterill took over from Steve McClaren in October but, despite an initial upturn in form, the Reds have been in woeful form of late and have scored just four-goals in their last 11 matches. But Davies remains convinced they can turn things around: ""I am sad to see what has happened,"" the former Preston and Derby boss added. ""But I wish them well and have no doubt they will get out of their troubles. ""The club deserve to be in the Premier League.""","Ex-Nottingham Forest boss Billy Davies says he has ""unfinished business"" at the club and would love to return."
"The former Army helicopter pilot and two fellow crew members will launch to the International Space Station (ISS) on a landmark flight from Baikonur Cosmodrome, in Kazakhstan. To mark the launch, #BritinSpace, #Principia - the name of the six-month mission - and #TimPeake are all trending on Twitter. Here, we feature some of the best of those comments. @Astro_Matt27 tweets his best wishes to the Chichester-born astronaut: @mccartanfi tweets her excitement ahead of the launch, scheduled for 10:30 GMT: @angegarrod and @joannajury are also looking forward to the launch and using #BritinSpace - the highest trending hashtag ahead of the historic spaceflight: Notable names from the world of sport and TV are also anticipating lift-off, with cricket commentator @Aggerscricket and adventurer @Benfogle adding their best wishes to their fellow countryman: And just in case he hasn't had time to check the forecast in Kazakhstan for Tuesday, @bbcweather posted this helpful update for the intrepid 43-year-old: Compiled by Stephen Fottrell.","Maj Tim Peake will become the first British European Space Agency (Esa) astronaut to go into space, on Tuesday."
"Lizzie Mould, from Bristol University, was challenged by Gloucestershire firm Snow Business to come up with a ""green"" realistic snow for film and television. It took her two years and a ""few hundred attempts"" but now her new snow liquids are being sold to the industry. Ms Mould, said: ""To say that seeing the products on the market is rewarding would be an understatement."" The Stroud-based company which specialises in fake snow and ice effects, has previously worked on James Bond film Spectre, Avengers: Age of Ultron and Star Wars VII: The Force Awakens. But in a bid to create a ""really good snow effect"" which was ""robust in different climates"", environmentally friendly and would not damage people's skin or leave a residue - they approached the university. ""I must have made hundreds of formulations. before we got to where we are today,"" said Ms Mould, who has now been offered a full-time job with the firm. ""The original plan was just to make one fluid but by the end of my project we had two which both worked really well."" Recently launched to the industry, Paul Denney, from the company, said as far as they know the new liquids are ""the most environmentally friendly falling snow products in the world"". ""We had looked at developing the product ourselves but the chemistry involved was beyond our capabilities, which is why we approached the University of Bristol,"" he said. ""We weren't totally sure what Lizzie would be able to do, especially as we had a long wish list of characteristics but she's really come up trumps and surpassed all our expectations.""","A chemistry student has created ""the most environmentally-friendly"" fake snow, as part of her research."
"The incident happened on the A98, three miles from Fraserburgh, at about 22:15 on Sunday. The female driver, who was the only person in the vehicle, was taken to Aberdeen Royal Infirmary for treatment.",A woman has suffered serious head injuries in a single-vehicle crash in Aberdeenshire.
"Police said the 43-year-old man was subjected to a ""brutal"" attack at Century Mill in Farnworth, Bolton, at about 12:00 BST on 9 June. He died four days later in hospital. Kathryn Colgan, 24, William Coughlan, 25, and Alex Colgan, 28, of Ramsay Avenue, Farnworth, and Ellis Hampson, 19, of Oakfield Drive, Little Hulton, have all been charged with murder. The four appeared before Manchester Crown Court and were bailed to return on 11 August. A 16-year-old boy who was also arrested on suspicion of murder has been bailed pending further investigation.",Four people have been charged with murder over the death of a man who was attacked at a former mill.
"The 59-year-old was the first American to manage a Premier League club, but lasted just 85 days before being sacked by the Swans in December 2016. They won just two of the former USA and Egypt manager's 11 games in charge. Los Angeles, who are led by an ownership group of 27 people including Hollywood actor Will Ferrell, will join the MLS for the 2017-18 season. The team, also co-owned by basketball legend Magic Johnson and former Cardiff City chairman Vincent Tan, will play at the purpose built 22,000-seater Banc of California Stadium. This content will not work on your device, please check Javascript and cookies are enabled or update your browser",Former Swansea City boss Bob Bradley has been named as the first manager of MLS team Los Angeles FC.
"The 21-year-old, who joined Chelsea in January 2012, spent last season on loan at English Championship side Middlesbrough, making 22 appearances. His switch comes after a vow to fight for a place at Chelsea this season. ""The target is to get a lot of playing time and help Kasimpasa achieve their objectives,"" he told BBC Sport. ""I've come to Turkey to reciprocate the club's determination to bring me here. I want to show the manager and the fans that they have made a good choice and I am completely focused on breaking into the squad and prove myself here. ""They have strong faith in my ability and I need to prove it. Last season was difficult because of injuries which affected me both at club and international level but I have put all that behind me. ""Kasimpasa approached Chelsea in a professional manner and the chance to test myself in a top league is very challenging."" Omeruo underwent his medical at Kasimpasa on Tuesday before signing a deal, which includes an option for the Turkish club to buy him at the end of the loan. He joined Chelsea from Belgian side Standard Liege in 2012 and developed on loan at ADO Den Haag in Netherlands in an 18-month spell from 2012 to 2013. Omeruo made 14 appearances in his first loan spell at Boro after joining in January 2014 and returned for the whole of last season. The centre-back was first called up by Nigeria in January 2013 and he went on to play at that year's Africa Cup of Nations and Confederations Cup - and at the 2014 World Cup.",Nigeria international defender Kenneth Omeruo has joined Turkish Super Lig side Kasimpasa on a season-long loan deal from English champions Chelsea.
"Russia was suspended by governing body the IAAF for state-sponsored doping in November 2015, a ban extended on Monday to cover the 2017 World Championships. Mutko, who was criticised by the IAAF on Monday, accepted ""there were many abuses and breaches"" but says ""colossal work has been done"" over the last year. Russia expects to be back by November. A return to competition will require the reinstatement of the national drug-testing agency, which remains suspended over various allegations of covering up doping. Mutko - who assumed his role in October - has been outspoken since the McLaren report alleged there had been a state-backed Russian doping programme. In January he said female doping results can be distorted if athletes have had sex in the days leading up to a test. But on Monday he said: ""Athletes broke the rules and many coaches don't understand how to work without doping and it's high time for them to retire."" Russia will miss the World Championships which begin on 4 August in London, but some athletes from the country could compete in London under a neutral banner. The IAAF is so far considering 35 applications from athletes, who could be included if they can show a record of independent drug-testing by agencies other than the suspended national body. Russian track federation vice president Andrei Silnov said he was against the inclusion of neutral athletes in principle but also questioned if the country's problems were as bad as the IAAF outlined. ""It's all being solved, slowly but surely. We're doing what we need to do,"" Silnov said. `""They say we have a culture of doping. What culture of doping?""","Russian coaches who ""do not understand how to work without doping"" should ""retire"" says the country's deputy Prime Minister Vitaly Mutko."
"Sheffield City Council said the cladding at Hanover House was not made of the solid aluminium panels ordered. The issue was spotted during fire safety tests carried out in the wake of the Grenfell Tower blaze. Councillor Jayne Dunn said: ""We will not stop until we get to the bottom of what happened."" More stories from across Yorkshire The council announced on Monday that a single element of the cladding system, added to the 16-storey tower block during a recent refurbishment, had failed new fire tests. Hanover House resident and tenants association member John Cawthorne said: ""I personally feel betrayed."" Ms Dunn, cabinet member for neighbourhoods and community safety, said the issue had been discovered following independent testing of the cladding at the council's 24 tower blocks. She said testing had been carried out despite paperwork stating ""there was absolutely no cladding apart from aluminium on our buildings"". ""It's only when you cut in to it that you can see the layers,"" she continued. ""I can guarantee you that we will not stop until we get to the bottom of it because they took a piece of cladding to the tenants at a consultation and they didn't put that up. ""That was the cladding that we asked for. That was the cladding that we were told was on the building."" Mr Cawthorne said: ""The Tenants Association were given samples, which I kept for eight years, and those samples are 3mm aluminium sheet. ""That's what the council asked to be put on this building, but that's not what was discovered on this building when the tests were carried out. ""People are angry and I personally feel betrayed."" Tests are being carried out on high rises across England in the wake of the Grenfell Tower fire in London on 14 June, in which at least 79 people died. So far 75 UK blocks have failed fire safety tests in 26 areas.",An inquiry has begun after cladding removed from a tower block in Sheffield was found to be different to what council bosses had asked to be fitted.
"The comedy sequel earned more in its first weekend than the $65m that the first film pulled in over the course of its entire US run in cinemas. Universal's Nick Carpou described the musical sequel's success as ""amazing"". Directed by actress Elizabeth Banks, it marks the highest ever opening for a first-time feature film director. ""People loved the first movie and it resonated well beyond that $65m that the first film did,"" said Carpou, Universal's domestic distribution chief. ""To be able to build on the first film and expand its popularity is pretty amazing."" The film sees Anna Kendrick and Rebel Wilson reprising their original roles, alongside newcomer Hailee Steinfeld, as the fictional a capella singing group The Barden Bellas. The story sees the Bellas square off against German aca-champions Das Sound Machine in an international singing contest. Tom Hardy's turn as the reinvented Mad Max - filling the shoes of Mel Gibson 30 years on - racked up $44.4m, having received positive reviews when it premiered at Cannes Film Festival last week. ""A lot of people coming to the movie went purely on the reviews,"" said Warner Bros' Dan Fellman, calling the film ""an incredible ride this is that it's going to propel us right into the meat of the summer"". However the film remains a long way from profit. Pitch Perfect 2 cost a modest $29m to produce, while Mad Max: Fury Road carries a significant $150m price tag.","Pitch Perfect 2 has made an impressive $70.3m (£44.7m) debut at the US box office, surging ahead of George Miller's Mad Max reboot, Fury Road."
"It is thought the body was dumped some time between 21:00 BST and midnight on Sunday, just off the A628 at Tintwistle, near Glossop, Derbyshire. Police are liaising with Europol, as the unidentified victim could be a foreign national. A member of the public discovered the remains on Monday. At a press conference, a police spokesman said a witness saw a fire close to the road on Sunday. Live updates and more from Derbyshire. Assistant Chief Constable Bill McWilliam told reporters he was ""pretty satisfied this poor individual"" was not murdered in the lay-by. Mr McWilliam said: ""We are working with other forces to ascertain whether our victim may have been reported missing in a neighbouring county but we recognise he might not have been reported missing at all. ""I recognise this must be a very shocking incident for either people who live in the area or frequent the area for recreation."" Post-mortem examinations revealed the body belonged to a white man under the age of 50, but no DNA matches have been found on the national database. The cause of death is still unknown. Police have urged anyone who may have information about the man's identity to contact them. Officers would also like to hear from anyone who was in the area on Sunday night or who travels regularly along the A628 between Tintwistle and the Flounch roundabout. A murder inquiry began on Tuesday after the man's remains were found, led by officers from the East Midlands Special Operations Unit.","The badly burned body of a man found in a lay-by near the Peak District had its head and limbs missing and was stuffed in a suitcase, police have said."
"As he was in the summer, the 38-year-old has again been linked with the vacant national job following the departure of Sam Allardyce on Tuesday. Howe guided Bournemouth to Premier League safety last season after winning the Championship title in 2015. ""My mindset and my full attention is here with AFC Bournemouth,"" Howe told BBC Radio Solent. ""The last thing you need is to be distracted. I certainly won't be, but I know other people will talk about it."" Howe was recently asked in an interview with the BBC's The Premier League Show if the role as national coach would ever appeal to him in the future. ""The England job, I think, is the ultimate,"" he told presenter Gary Lineker during filming before Allardyce's departure. ""I would never say no, but it's not something I want to consider."" Media playback is not supported on this device Howe has now moved to reassure Bournemouth supporters his view has not changed despite subsequent events. ""I have pledged my allegiance to AFC Bournemouth time and time again,"" he said. ""When these situations and these stories occur, it's more the press than absolutely anything else. I'm absolutely committed to AFC Bournemouth.""",Bournemouth boss Eddie Howe says he will not be distracted by talk linking him with the England manager's role.
