prompt,document,summary,pred_answer,score
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.",Residents awoke from a night of colourful fireworks to find the city covered in a thick grey blanket of smog and authorities warned that pollution levels were critically high.,Diwali celebrations in the Indian capital Delhi have seen air pollution rise to hazardous levels after many firecrackers were set off.,"{""summary"": ""After fireworks, residents woke to thick smog, with authorities warning of critically high pollution.""}",0.5237983465194702
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The council has launched an appeal to raise Â£150,000 for a bronze sculpture in the Barkers Pool area. Former steelworker Kathleen Roberts said: ""It breaks my heart that we haven't been recognised and everyone else has been."" The planned sculpture has been designed by artist Martin Jennings. Mrs Roberts said: ""Times were tough in 1941, as a country we had our backs against the wall. We worked flat out for the war effort and we were just young girls. ""I think the Sheffield industry could give more because they give so freely to others."" Sheffield City Council put up a commemorative plaque to the women in 2011, while plans for the sculpture were already under way. Leader of Sheffield City Council, Julie Dore, said: ""We all owe it to these amazing women to make the statue a reality.""","A woman who ""gave up her youth"" to work in Sheffield's steel factories during World War II has said the city's ""women of steel"" need proper recognition.","{""summary"": ""Sheffield City Council is raising £150,000 to commission a bronze sculpture honoring wartime women workers in Barkers Pool.""}",0.5289149284362793
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Reports suggest Chinese buyers are acquiring the clothing retailer, which started in London in the 1850s. Its illustrious fans have included the Queen Mother, Margaret Thatcher and actors such as Cary Grant. But after the British firm was saved from administration in 2012, it has mainly focused on China and last year saw its UK sales fall 16%. Hong Kong-based YGM Trading, which bought it for £15m four years ago, said Aquascutum is due to be sold in March 2017 to two buyers. The unnamed acquirers have made a $5m down payment for exclusive rights to the deal, YGM said in its annual report this week. Chinese textile firm Shandong Ruyi Group is understood to be one of the buyers, according to Bloomberg. Aquascutum started as a Mayfair tailors in 1851, rising to prominence after its founder, John Emary, patented the first waterproof textile. Its trench coats were worn by British soldiers during the First World War, while in 1953 its wyncol fabric - designed to withstand 100 mph winds - was used by explorer Edmund Hillary in the first confirmed ascent of Mount Everest. The coats were also a regular feature on the silver screen, with Sean Connery wearing one in Another Time, Another Place in 1958 and Sophia Loren in The Key. However, the retailer has struggled in recent years, closing its Nottinghamshire factory in 2012 and then falling into administration. Under YGM's ownership, the company's primary focus has been China, with 135 of its 146 outlets located in mainland China, Hong Kong, Macau and Taiwan. Last year it closed 14 stores in China amid declining sales, but opened one in Europe. In the UK, its three remaining standalone stores are in Westfield London, Great Marlborough Street and Jermyn Street.","Aquascutum, whose luxury raincoats have been worn by royalty and film stars, is being sold for $120m (£97m).","{""summary"": ""Chinese buyers are set to acquire Aquascutum, the historic London clothing brand that has struggled post‑2012, with most of its stores now in China.""}",0.653046190738678
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Both men retired on 105 as they punished a tiring students attack. Donald, 19, is the second youngest player to reach three figures for Glamorgan. The record is still held by Mike Llewellyn, who was aged 18 when he scored a century against Cambridge University in 1972. Donald had previously made 98 in the final game of the 2015 season against Gloucestershire. ""It was nice to tick it off, it's been looming over me a bit during the winter. It's really special, nice to get over the line in the first game of the season,"" Donald told BBC Wales Sport. ""Pleased for Dai as well, to have two maiden first-class tons in one game was a pretty good effort."" Lloyd, whose previous best was 92 at Northampton in 2015, reached his century with a six. ""I was just pleased to get over the line, and for Aneurin as well,"" he said. ""Last season was a stepping stone for me and hopefully I can go one step further with bat and ball."" The pair's run-scoring feats are likely to provide a difficult selection decision for Glamorgan's Championship opener against Leicestershire, with South Africa international batsman Colin Ingram yet to come into the side. ""Hopefully we've put ourselves up there for selection. It's about being in the mix, and you can't ask any more of ourselves to both get hundreds,"" said Donald. ""We accept this year there's going to be more competition for places which is a great thing for the club, pushing us as batters and bowlers."" Donald could still beat Matthew Maynard's record for the youngest Championship century, achieved in 1985. Earlier Glamorgan's top order had all spent time at the wicket without going on to make big scores, as James Turpin and Alex Thomson claimed two wickets apiece. The run-scoring exploits came after day one of the three-day match was washed out.",Glamorgan batsmen Aneurin Donald and David Lloyd both hit maiden first-class centuries as they piled up 444-7 against Cardiff MCCU.,"{""summary"": ""Glamorgan’s 19‑year‑old Donald and Lloyd each scored centuries, boosting their chances for the Championship opener and challenging the club’s youth records.""}",0.824175238609314
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Margarita Louis-Dreyfus, Marseille's billionaire owner, said in April that she would sell the club following poor results and protests from fans. McCourt, speaking at a news conference, said: ""I'm very excited about making Marseille a champion again."" A deal is set to be completed by the end of the year and no fee has yet been disclosed. Appearing alongside Louis-Dreyfus and Marseille mayor Jean-Claude Gaudin, 63-year-old McCourt said he wants a team that can compete ""year in, year out"" to win Ligue 1. Marseille, who finished 13th in 2015/16 and lost to PSG in the French cup final, are 11th after three games this season.","Frank McCourt, the former owner of the LA Dodgers baseball team, is set to buy French Ligue 1 club Marseille.","{""summary"": ""Marseille owner Louis‑Dreyfus plans to sell the club after poor results and fan protests; new owner McCourt aims to rebuild for Ligue 1 success.""}",0.5909463167190552
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Roslyn Condie, of Mossdale, near Castle Douglas, admitted being the owner of a dog which was dangerously out of control last September. A court heard how her Staffordshire Bull Terrier, Nipper, bit the postman on the leg leaving a puncture wound. Sentence was deferred on Condie for six months. Dumfries Sheriff Court heard how the incident happened while the postman was delivering mail in the village of Mossdale. Local residents gave him first aid and he later had medical treatment for the bite. Fiscal depute Jennifer McGill said there was concern in the area over the dog which had on occasion escaped from the garden of its home. A solicitor for Condie said she had had the dog since it was a puppy and it was very affectionate. She now kept it muzzled when taken out and the garden fences had been made escape proof. Sheriff Brian Mohan handed out the warning that a second bite would bring destruction and deferred sentence on Condie stressing that she should keep the dog under control with appropriate measures.",A sheriff has warned the owner of a dog which bit a postman delivering the mail that her pet will be destroyed if it bites someone again.,"{""summary"": ""Roslyn Condie of Mossdale received a six‑month deferred sentence after her Staffordshire Bull Terrier bit a postman, prompting a warning to keep the dog controlled.""}",0.4455544948577881
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The 30-year-old joined Wanderers for a second loan stint in January from Cardiff City and helped the club to promotion from League One. He was out of contract at Cardiff this summer and moves on a free transfer. ""It's not going to be a shock that I've signed and it's been a long time coming,"" he told the club website. ""Bolton is my spiritual home at the moment and I'm really looking forward to putting in a lot of hard work and get going."" Find all the latest football transfers on our dedicated page.",Bolton Wanderers have completed the permanent signing of striker Adam Le Fondre on a two-year deal after his loan spell last season.,"{""summary"": ""The 30‑year‑old, after a successful loan at Wanderers, leaves Cardiff on a free to join Bolton, eager to work hard at his new club.""}",0.4379750490188598
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The emergency services were called to the property in the Sangomore area of Durness at about 02:00. Police Scotland said it was not known if she was in the house at the time. Her relatives have been informed. Det Insp Richard Baird said the fire was not thought to be suspicious, but the damage caused had prevented entry to the property. He said: ""A joint investigation with the fire service will be carried out. ""Enquiries are at a very early stage, however, initial enquiries would suggest there are no suspicious circumstances. ""Due to the extensive structural damage and uncertainty of the building, gaining access to the property will take some considerable time. ""Structural engineers will advise when it will be safe to enter the property.""",Police are trying to trace a woman who is unaccounted for after a fire at her home in the Highlands.,"{""summary"": ""Fire in Sangomore, Durness, at 02:00, not suspected arson, authorities investigating, access delayed due to damage.""}",0.3182652592658996
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","he 18-year-old, who is the third-youngest player at Euro 2016, signs a five-year deal for an undisclosed fee. On Monday, Dortmund signed Bayern Munich midfielder Sebastian Rode, 25. Last week, they agreed a deal for Barcelona's Spain defender Marc Bartra, 25, after meeting his £6.25m release clause and previously signed Rennes forward Ousmane Dembele, 18. The Rode and Dembele deals were completed for undisclosed fees. Find all the latest football transfers on our dedicated page.",Borussia Dortmund have made FC Nordsjaelland and Turkey winger Emre Mor their fourth summer signing.,"{""summary"": ""Dortmund secured an 18‑year‑old Euro 2016 player, Sebastian Rode, Marc Bartra, and Ousmane Dembele on undisclosed deals, with Bartra’s release clause met.""}",0.5757783651351929
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The Spaniards won 22-19 with a try in the last seconds to seal the 12th and final spot for this summer's Rio Games. They join Fiji, South Africa, Great Britain, Australia, United States, Argentina, France, Kenya, New Zealand, Japan and Brazil in the men's event. ""I am still trying to take it in. This is a dream for us. We are going to be Olympians,"" said Spain's Angel Lopez. ""We believed that we were good enough, but wow, this is pretty special. ""We now have to prepare. We will be very motivated and determined to do our nation, our family and Spanish rugby proud.""",Spain qualified for the Olympic sevens with a dramatic late victory over Samoa in Sunday's repechage tournament final.,"{""summary"": ""Spain clinched the final men's rugby sevens berth for Rio with a last‑second try, joining 11 other nations.""}",0.7474404573440552
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Edinburgh University found chronic pain is caused partly by a person's genetic make-up and partly by as-yet-unidentified risk factors shared by partners in the same environment. The team also identified significant overlaps between the risk factors for chronic pain and depression. The scientists said chronic pain is a common cause of disability. Scientists hope the research will help explain why some people suffer from the condition and not others. The study used data from more than 100,000 people taking part in the Generation Scotland and UK Biobank projects - major studies investigating genetic links to health conditions. The results of the collaboration with Dundee, Aberdeen and Glasgow universities are published in the latest edition of the journal PLOS Medicine. Prof Andrew McIntosh, chair of biological psychiatry at Edinburgh University, said: ""We hope our research will encourage people to think about the relationship between chronic pain and depression, and whether physical and mental illnesses are as separate as some believe.""","Partners of people with depression are more likely to suffer from chronic pain, a new study suggests.","{""summary"": ""Edinburgh University researchers found chronic pain stems from genetics and shared environmental risk factors, overlapping with depression, using data from 100,000+ participants.""}",0.7356268167495728
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Storms smashed a hole in the sea wall alongside the line above the seafront in Dawlish, south Devon in 2014. The railway line took two months to repair at an estimated cost of £1bn to the local economy. Network Rail is consulting with Devon and Cornwall residents about the plans. They include strengthening defences and cliffs, as well and building breakwaters to protect the line. More on the coastal rail protection work, and other Devon and Cornwall news Cliffs next to the line would be stabilised and reshaped so they are not as steep under the plans. A total of £270m is allocated for spending on priority areas including around Dawlish between 2019 and 2024. The line connects Devon and Cornwall with the rest of the UK.","Protecting a key coastal railway track from rising sea levels and falling cliffs is going to cost about £650m, Network Rail has said.","{""summary"": ""After 2014 storms damaged Dawlish’s sea wall, Network Rail plans to reinforce cliffs, build breakwaters, and strengthen defenses, allocating £270 m for 2019‑24.""}",0.6602126359939575
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The search was launched after the coastguard received reports from an individual claiming to be in difficulty off the coast of County Down. Two RNLI boats and a coastguard helicopter from Scotland were launched to assist in the search. The kayaker was reported to be near Mew Island, one of the Copeland Islands near Donaghadee. A coastguard spokesman said it received several calls from a person claiming to be in difficulty. However, the alarm was declared to be a hoax following a thorough search.","The coastguard has called off a search for a kayaker after it declared the alarm an ""elaborate hoax"".","{""summary"": ""Coastguard and RNLI launched a search for a kayaker near Mew Island, County Down, but later determined the distress call was a hoax.""}",0.7323135137557983
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The 50m (150ft) pylons would run from Carlisle to Heysham, Lancashire, to connect a new Â£10bn nuclear power plant at Moorside, Sellafield, to the grid. Power Without Pylons and Friends of the Lake District say the National Grid is ""ignoring"" demands for the cables to go underground in ""sensitive landscapes"". The National Grid said it ""fully recognises the importance"" of the area. The campaign walk is taking place from Black Combe where the pylons will be visible, down to the National Park's costal boundary and across the mouth of Duddon. Graham Pitts, chairman of Power Without Pylons, said: ""This is a very serious decision. These pylons are going to be up for the rest of this century. ""I don't think people appreciate two things - one, how stunning the view is around here, and two, how much these pylons are going to affect it by their sheer size."" The Lake District is being put forward as the UK's next nomination for World Heritage status. A National Grid spokesman said: ""We have not yet made a final decision on how and where the new connection will be built. ""When building connections for generators, we strive to avoid designated landscapes. Where this is not possible, we work closely with stakeholders and communities and carry out consultations to develop a proposal which achieves the best possible balance between protecting the environment and ensuring everyone has an affordable electricity supply."" A formal consultation is expected to take place later in the year, with the final plans submitted to the planning inspectorate in 2017.",Campaigners are holding a protest walk against plans to build pylons across the Lake District National Park.,"{""summary"": ""National Grid plans 50‑m pylons linking a £10bn Moorside nuclear plant to the grid, sparking opposition from Lake District groups demanding underground cables.""}",0.5423619151115417
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Paul McMullen got them underway when he finished a Billy King cross, and shortly after it was 2-0 when King scored with a long-range shot. Mark Durnan volleyed in a third to give the visitors a commanding half-time lead against the Highland League side. The result was marred with United striker James Keatings carried off. The result at Victoria Park gives Ray McKinnon's men six points out of six following the 2-0 win on Saturday over Raith Rovers.",Three first-half goals moved Dundee United three points clear at the top of Scottish League Cup Group C as they eased past Buckie Thistle.,"{""summary"": ""Ray McKinnon's team secured a 2-0 win over Raith Rovers, with goals from King and Durnan, earning all six points despite Keatings' injury.""}",0.4290201365947723
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The man was crossing Abbot Adams Bridge in Main Street, Kilwinning, at about 03:00 when he was hit by a blue Vauxhall Corsa. He was taken to Crosshouse Hospital, Kilmarnock, where his condition was described as serious but stable. Police say the car drove off towards Irvine and have appealed for witnesses. Sgt Ian Thornton said: ""Inquiries are ongoing into the circumstances surrounding this collision. ""Officers have been checking all available CCTV systems and have been speaking to witnesses who came to the man's aid. ""I would appeal to the driver of the Corsa to come forward and contact police as a matter of urgency. ""Similarly, I would ask anyone who witnessed the collision, or the Vauxhall Corsa being driven, to contact the Divisional Road Policing Unit at Irvine via the police non-emergency number 101 or Crimestoppers on 0800 555 111.""",A 51-year-old man has suffered serious injuries after being struck by a car in a hit-and-run incident in North Ayrshire.,"{""summary"": ""A man was struck by a blue Vauxhall Corsa while crossing Abbot Adams Bridge at 3 am, taken to hospital, police seek witnesses and driver.""}",0.5481536388397217
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","Lee Gregory could have put the Lions ahead, but shot over from close range. Visting goalkeeper Jordan Archer made a fine save to deny Elliot Lee before Gregory and Chris Taylor both missed chances at the other end. Taylor almost sealed three points for Millwall late on but his defected effort hit the post, meaning the Londoners drop to sixth in the table. They are four points ahead of Barnsley, who have a game in hand, while Colchester remain in 23rd place, still seven points adrift of safety. Millwall boss Neil Harris told BBC Radio London: Media playback is not supported on this device ""I don't think we were really quite as clinical as we have been. ""I thought we were very lacklustre in the first half and never really imposed our tempo on the game. ""I think we can focus on the fact that it's a really good clean sheet, it's another point gained. ""Having said that, I'm obviously disappointed. I thought we should have come here and won today.""",League One strugglers Colchester United had to settle for a point against play-off chasing Millwall.,"{""summary"": ""Millwall lost a close match, missing chances and conceding a goal, falling to sixth place while boss Harris lamented their lack of clinical play.""}",0.4229744672775268
"Summarize the following article in one concise sentence. Keep the summary under 25 words, avoid direct quotations, and output only the summary text.","The prosecution was brought by the RSPCA following a raid at a puppy farm at a traveller site in Essex. Teresa Wade, 57, Victoria Montgomery, 54, her daughter Roxanne Montgomery, 33 and Tony Hammond, 34, admitted fraud at Basildon Crown Court. The gang, from Essex and east London, will be sentenced later. Live: For more on this and other Essex stories All four admitted handling about 750 puppies between July 2013 and October 2014. The court heard the animals were sold for an average of £450 each and the RSPCA estimates the fraud was worth more than £300,000. The court was shown video footage shot by the RSPCA of dozens of cockerpoo (a cocker spaniel and poodle crossbreed) puppies kept in cages inside dark sheds near South Ockendon. The dogs - some barely two weeks old - had soiled newspapers for bedding, no toys and some had no heating. Teresa Wade, of Ship Lane, Aveley, South Ockendon, admitted advertising them over the internet as being home-reared, and that they were shown to prospective buyers at houses belonging to the other defendants, before being sold for up to £750 each in cash. But some of the animals were so sick they died shortly after arriving at their new homes, or cost their new owners thousands of pounds in vet bills. Wade will be sentenced later along with Victoria Montgomery, of Melford Avenue, Dagenham, and Hammond and Roxanne Montgomery, both of Grafton Raod, Dagenham.","Three women and a man have admitted fraud in connection with the sale of hundreds of puppies, some of which died or suffered serious health problems.","{""summary"": ""Four Essex residents pleaded guilty to fraud, selling 750 puppies from a farm, each worth up to £750, for over £300,000.""}",0.7297607660293579
