prompt,Title,Description,Class Index,pred_answer,score
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Nortel Cuts Fewer Jobs, Exits Real Estate"," OTTAWA (Reuters) - Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.TO target=/stocks/quickinfo/fullquote""&gt;NT.TO&lt;/A&gt; on  Thursday said it would eliminate about 10 percent of its work  force, slightly less than previously estimated, and consolidate  real estate in a cost-cutting plan that will save \$500 million  in 2005.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Dow Chemical reports 86 percent increase in profit,"DETROIT - Dow Chemical Co. #39;s third-quarter earnings soared 86 percent to beat Wall Street forecasts, thanks largely to improved margins.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Two U.S. Soldiers Killed in Iraq Bombings (AP),"AP - Two American soldiers were killed and two others were wounded in separate bombings that occurred within hours, the U.S. military said Thursday.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Headshake to the SETI Headfake,"Did the famous screensaver, SETIhome, uncover the first strong evidence for an extraterrestrial signal? The SETI Institute's Seth Shostak discusses how hyperbole can misrepresent the last addition to a list of stellar candidates.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Martinez Moves Red Sox Nearer Series Title (AP),"AP - Don't question Pedro Martinez anymore. Fame and fortune already his, Martinez finally made it to the World Series on Tuesday night. And when he got there, he shut down the St. Louis Cardinals, putting the Boston Red Sox within one victory of the World Series title that has eluded them since 1918.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Nothing doing,"Well, that didn #39;t go very well, did it? Everybody knew the NHL planned on turning down the NHLPA #39;s latest offer yesterday, but the hockey world still held its breath when the two adversaries met face to face ",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",No temporary insanity here,"CLEVELAND -- As he stood on the sideline waiting for the opening kickoff yesterday, Terry Robiskie was excited, but also realistic. The interim coach of the Cleveland Browns knew the score even before the first score had been rung up on his team by the New England Patriots.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Federated sales decline in August,"A slow August snapped an eight-month winning streak for Federated Department Stores Inc., which reported its first drop in sales since November.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",US Airways Watch: 11/18/04,"US Bankruptcy Court Judge Stephen Mitchell will hear arguments today asking him to reconsider a four-month, 21 percent pay cut he imposed on many unionized workers last month.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Nokia, NEC Test New IP Multimedia Subsystem",Two high-tech communications players have completed the first phase in a series of tests to show how a next-generation IP data and communications infrastructure works.,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Japan loses whale trade bid,"A UN meeting has harpooned a Japanese bid to ease curbs on trade in whale products, but a defiant Tokyo accused the West of  quot;cultural imperialism quot; and vowed to press efforts to expand whaling.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Knicks Hold Off Raptors, 108-102","New York Knicks #39; Jamal Crawford puts up a shot against the Toronto Raptors during the second quarter Saturday, Nov. 27, 2004. Crawford scored 30 points in the Knicks #39; 108-102 win.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",230m claim against FT struck out,The High Court in London has struck out the bulk of a record 240m libel damages claim brought against the Financial Times by investment bank Collins Stewart Tullet.,3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Sears gets a boost from Vornado,"Vornado Realty Trust gave Sears, Roebuck  amp; Co. #39;s stock a big boost Friday when it said it bought a 4.3 percent stake in the famous but struggling chain.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Atlanta police arrest Braves player on DUI charge,ATLANTA - An Atlanta Braves player is in the Atlanta Jail today after being arrested on a charge of driving under the influence. Members of the DUI Task Force arrested shortstop Rafael Furcal about 4:20 am ,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Prince Charles chastised for  quot;old fashioned quot; views,"A minister has launched a scathing attack on heir to the throne Prince Charles, accusing him of being  quot;very old fashioned quot; and out of touch in his views on teaching in schools.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Stocks to Watch on Dec. 1," NEW YORK (Reuters) - U.S. stocks to watch on Wednesday: IBM  CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: The computer maker said it sealed deals worth  more than \$1 billion in new work with two European companies  from which the information technology company just acquired two  Danish services providers.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Guinea-Bissau Soldiers Stage Mutiny, Kill Army Chief",Mutinous soldiers demanding pay for peacekeeping duty abroad killed the commander of Guinea-Bissau #39;s armed forces on Wednesday and seized key buildings in the capital of the former Portuguese colony.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Housing Starts Surge 6.4 Pct. in October," WASHINGTON (Reuters) - U.S. housing starts jumped a  larger-than-expected 6.4 percent in October to the busiest pace  since December as buyers took advantage of low mortgage rates,  a government report showed on Wednesday.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Sadr #39;s men cash in their guns,"BAGHDAD: Members of radical cleric Moqtada al-Sadr #39;s militia began handing back their weapons yesterday under a deal with the interim Iraq Government, while two US soldiers were killed in a Baghdad rocket attack.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Scotch Whisky eyes Asian and Eastern European markets (AFP),"AFP - A favourite tipple among connoisseurs the world over, whisky is treated with almost religious reverence on the Hebridean island of Islay, home to seven of Scotland's single malt distilleries.",1.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Shell to invest in major shake-up,"OIL group Shell has pledged to invest \$45bn (25bn) and make major disposals in a shake-up of the business, following its reserves crisis earlier this year.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",First drug cases at Paralympics,"Athens - Two weightlifters from Azerbaidjan have been banned from competitions for life after testing positive for drugs, in the first two doping cases of the Athens Paralympics, officials said here on Wednesday.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","France joins Germany, Japan in economic slide (AFP)","AFP - The French economy hit a rough patch in the third quarter, throwing the government's full-year growth target into question amid signs of an economic slowdown in the 12-nation eurozone.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",TGn Sync Proposes New WLAN Standard,The battle over home entertainment networking is heating up as a coalition proposes yet another standard for the IEEE #39;s consideration. ,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","UPDATE 1-BMW, Honda drop challenge to F1 rules",Carmakers BMW and Honda have dropped plans to challenge Formula One #39;s governing body over engine rules for 2006 after deciding that legal action would be bad for motor racing.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Microsoft Unveils Software to Find Files (AP),"AP - Microsoft Corp. on Monday joined the battle for supremacy in so-called desktop search, introducing software for quickly locating files on personal computers that challenges Google's two-month-old rival product.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",India #39;s Offer for Peace Talks on Kashmir Is Sweetened With Aid,"India #39;s prime minister, Manmohan Singh, came to Kashmir on Wednesday offering unconditional talks with anyone willing to renounce violence and a \$5.3 billion economic ",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Three jockeys, one trainer arrested","LONDON -- British police arrested 16 people, including three jockeys and a trainer, Wednesday as part of a major crackdown on corruption in horse racing.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Raid in hunt for Afghan hostages,\US and Afghan forces raid houses in Kabul as part of a hunt for three UN workers kidnapped last month.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Microsoft bends on Sender ID,SOFTWARE FIRM Microsoft seems to have agreed to bend to the will of the open source community on its anti-spam technology sender ID.,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Complex Brings Work, Shops Close to Home","Tucked on a side street, just a block from the cars and trucks that whiz along Rockville Pike, sits a new complex of 404 luxury apartments, renovated restaurants and stores that some planners and developers are calling the optimum in compact urban redevelopment.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Industrial output falls in Japan,"Japan's industrial production falls in October while unemployment rises, providing more evidence of a slowdown in the world's second largest economy.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Gauging Reactions To MSN Search,"Last Thursday, MSN announced the official beta launch of their search engine. Although a preview had been available on their sandbox site, the launch marked the official unveiling of the company #39;s proprietary search technology to the general public.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Israeli Forces Thrust Into Northern Gaza (Reuters),Reuters - Israeli forces thrust into the outskirts\of the Jabalya refugee camp in the northern Gaza Strip on\Thursday in what the military said was an effort to stop\Palestinians firing rockets into Israel.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Corning begins work on Taiwan LCD facility,Demand for flat-panel devices means that the time is ripe for factories to churn out more glass.,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Search Engine Marketing: Outsource or In House?,"Search Engine Marketing: Outsource or In House?\\The next Search Engine Strategies session I thought would be interesting to report on was Search Engine Marketing: Outsource or In House?. Chris Sherman is moderating this panel, which includes Drew Graham from Kelkoo, Bill Hunt from IBM, Joseph Morin from Autobytel (SEW Forum ...",4.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Security Concerns Shelve MSN Messenger 7,"Microsoft has suspended the beta testing of the next version of its MSN Messenger client because of a potential security problem, a company spokesperson says.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Sudan: UN Ruling Won #39;t Help Stop Crisis,"KHARTOUM, Sudan Sept. 19, 2004 - A US-backed United Nations resolution threatening oil sanctions for the violence in Sudan #39;s Darfur region will only make it harder for the government to calm the insurrection there, a Sudanese official said Sunday.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Japanese electronics giants in LCD joint venture,"Hitachi, Toshiba and Matsushita Electric have formed a joint venture to manufacture large liquid-crystal displays for flat-screen televisions, escalating competition for a piece of the digital living room.",4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",America West Backs Away From ATA Bid,"America West Airlines backed away Thursday from a potential bidding war for bankrupt ATA Airlines, paving the way for AirTran to take over ATA operations.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Muslim Council joins fight for hostage #39;s life,Efforts to secure the release of Iraq hostage Ken Bigley are being stepped up as a delegation from the Muslim Council of Britain #39; heads to Baghdad for talks.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Lehman hoping third time is a charm,"Tied for the lead in what was shaping up as another shootout at Disney, Tom Lehman believes he has experience on his side. Not from the last 12 years, but the last three weeks.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Kashmir Talks: Failure Could be Fatal,"GIVEN their sordid 58 year-long history, its easy enough to sink into pessimism when discussing India-Pakistan relations. The just-concluded first round of comprehensive talks between the ",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","You have mail, always, with a BlackBerry",Washington lawyer William Wilhelm knows from experience that not everybody loves his BlackBerry as much as he does. The girlfriend was fed up with a relationship ,4.0,"{""Class Index"": ""4""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",North Korea to review its role in nuclear talks,"SEOUL North Korea is seriously reconsidering its role in talks on its nuclear programs because of what it sees as a concerted campaign to topple the government in Pyongyang, the North Korean Foreign Ministry said Monday.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Amazon.com net sales jump 29; Google reports \$52M in net income,"OCTOBER 22, 2004 (IDG NEWS SERVICE) - Amazon.com Inc. fell a penny short of analysts #39; per-share earnings expectations, while reporting net sales of \$1.",4.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Worldpay struck by online attack,Net payment system Worldpay is under attack from hackers delaying transaction times for hundreds of online retailers.,4.0,"{""Class Index"": ""3""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Milosevic opens his defense case, starting second half of his &lt;b&gt;...&lt;/b&gt;","Former Yugoslav President Slobodan Milosevic opened his long-delayed defense at the Yugoslav war crimes tribunal Tuesday, describing the battles of his Serbian people as self defense against internal rebellions and external attacks by Islamic warriors.",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Haas, Dent win openers at Madrid Masters",Tommy Haas of Germany and Taylor Dent of the United States advanced to the second round of the Madrid Masters after easy wins Tuesday.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",GOP Urge Bush to Turn Attention From Iraq (AP),AP - Nervous Republicans are urging President Bush to unveil a robust second-term agenda at his convention next week to shift voters' focus from the unpopular war in Iraq and other issues that are a distraction to his re-election drive. Some contend the party should ditch the GOP-fueled controversy over rival John Kerry's combat record in Vietnam.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",GM Protests Spread Across Europe,"Tens of thousands of General Motors workers across Europe were set to stop working on Tuesday in a sign of solidarity with their German colleagues, who face massive job cuts.",3.0,"{""Class Index"": ""3""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",9:22 am: Missing explosives have experts wondering what else is &lt;b&gt;...&lt;/b&gt;,Revelations that nearly 400 tons of conventional explosives have gone missing in Iraq have experts wondering what other weapons might be in jeopardy of falling into insurgent or terrorist hands.,1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Diamondbacks, Clayton Reach Agreement (AP)","AP - Royce Clayton and the Arizona Diamondbacks reached a preliminary agreement Sunday on a  #36;1.3 million, one-year contract.",2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Morocco #39;s El Guerrouj Olympic champion,Morocco #39;s Hicham El Guerrouj won in Athens Tuesday an Olympic title in the 1500m race after two failed attempts in Sydney and Atlanta.,2.0,"{""Class Index"": ""2""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.",Arafat to seek treatment in France,"RAMALLAH, WEST BANK - Yasser Arafat is about to leave his compound in the West Bank for the first time in two and a half years. Two helicopters from Jordan were expected to arrive in Ramallah late Thursday ",1.0,"{""Class Index"": ""1""}",1.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","Amtrak Infrastructure On Brink, DOT Warns","The national passenger rail service risks a ""major point of failure"" if infrastructure needs remain unaddressed, the U.S. Department of Transportation warned in a scathing report made public.",3.0,"{""Class Index"": ""1""}",0.0
"You are a news article classifier. For each article, output a single integer 1‑4. Category mapping: 1 = Politics/International, 2 = Sports, 3 = Business/Finance, 4 = Technology/Science. Use the title and description to decide. Output only the number.","France, Brazil lead charge for new global anti-poverty campaign","UNITED NATIONS : The presidents of Brazil and France called for new efforts to fight poverty and hunger in the developing world, including the controversial creation of an international tax, to combat the negative effects of globalization.",1.0,"{""Class Index"": ""1""}",1.0
