prompt,title,context,question,answer,pred_answer,score
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Islamism,"Another of the Egyptian groups which employed violence in their struggle for Islamic order was al-Gama'a al-Islamiyya (Islamic Group). Victims of their campaign against the Egyptian state in the 1990s included the head of the counter-terrorism police (Major General Raouf Khayrat), a parliamentary speaker (Rifaat al-Mahgoub), dozens of European tourists and Egyptian bystanders, and over 100 Egyptian police. Ultimately the campaign to overthrow the government was unsuccessful, and the major jihadi group, Jamaa Islamiya (or al-Gama'a al-Islamiyya), renounced violence in 2003. Other lesser known groups include the Islamic Liberation Party, Salvation from Hell and Takfir wal-Hijra, and these groups have variously been involved in activities such as attempted assassinations of political figures, arson of video shops and attempted takeovers of government buildings.",Over 100 Egyptian police were victims of what group's campaign of terror?,al-Gama'a al-Islamiyya,"{""answer"": ""al‑Gama'a al‑Islamiyya (Islamic Group)""}",0.942839741706848
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",University_of_Chicago,"Other prominent alumni include anthropologists David Graeber and Donald Johanson, who is best known for discovering the fossil of a female hominid australopithecine known as ""Lucy"" in the Afar Triangle region, psychologist John B. Watson, American psychologist who established the psychological school of behaviorism, communication theorist Harold Innis, chess grandmaster Samuel Reshevsky, and conservative international relations scholar and White House Coordinator of Security Planning for the National Security Council Samuel P. Huntington.",Who did John B Watson and David Graeber discover a fossil of?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Warsaw,"Warsaw's name in the Polish language is Warszawa, approximately /v??r????v?/ (also formerly spelled Warszewa and Warszowa), meaning ""belonging to Warsz"", Warsz being a shortened form of the masculine name of Slavic origin Warcis?aw; see also etymology of Wroc?aw. Folk etymology attributes the city name to a fisherman, Wars, and his wife, Sawa. According to legend, Sawa was a mermaid living in the Vistula River with whom Wars fell in love. In actuality, Warsz was a 12th/13th-century nobleman who owned a village located at the modern-day site of Mariensztat neighbourhood. See also the Vrovci family which had escaped to Poland. The official city name in full is miasto sto?eczne Warszawa (English: ""The Capital City of Warsaw""). A native or resident of Warsaw is known as a Varsovian  in Polish warszawiak (male), warszawianka (female), warszawiacy (plural).",What does Vriscovci mean in Polish?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Warsaw,"The first fortified settlements on the site of today's Warsaw were located in Bródno (9th/10th century) and Jazdów (12th/13th century). After Jazdów was raided by nearby clans and dukes, a new similar settlement was established on the site of a small fishing village called Warszowa. The Prince of P?ock, Boles?aw II of Masovia, established this settlement, the modern-day Warsaw, in about 1300. In the beginning of the 14th century it became one of the seats of the Dukes of Masovia, becoming the official capital of Masovian Duchy in 1413. 14th-century Warsaw's economy rested on mostly crafts and trade. Upon the extinction of the local ducal line, the duchy was reincorporated into the Polish Crown in 1526.",Who was Boleslaw II of Masovia?,The Prince of P?ock,"{""answer"": ""He was the Prince of Płock.""}",0.6003634929656982
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Packet_switching,"The Computer Science Network (CSNET) was a computer network funded by the U.S. National Science Foundation (NSF) that began operation in 1981. Its purpose was to extend networking benefits, for computer science departments at academic and research institutions that could not be directly connected to ARPANET, due to funding or authorization limitations. It played a significant role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet.",What was the purpose of CSNET,"to extend networking benefits, for computer science departments at academic and research institutions that could not be directly connected to ARPANET","{""answer"": ""To extend networking benefits to computer science departments at academic and research institutions that could not be directly connected to ARPANET due to funding or authorization limitations.""}",0.9226744771003724
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Packet_switching,"The CYCLADES packet switching network was a French research network designed and directed by Louis Pouzin. First demonstrated in 1973, it was developed to explore alternatives to the early ARPANET design and to support network research generally. It was the first network to make the hosts responsible for reliable delivery of data, rather than the network itself, using unreliable datagrams and associated end-to-end protocol mechanisms. Concepts of this network influenced later ARPANET architecture.",What alternative to ARPANET was developed?,No answer,"{""answer"": ""CYCLADES""}",0.1329254806041717
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Oxygen,"In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low ? and ?* orbitals; ? overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and ? overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest ? and ?* orbitals.",What axis do the 2p orbitals overlap with?,No answer,"{""answer"": ""the O‑O molecular axis""}",0.0423679128289222
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Pharmacy,"In some rural areas in the United Kingdom, there are dispensing physicians who are allowed to both prescribe and dispense prescription-only medicines to their patients from within their practices. The law requires that the GP practice be located in a designated rural area and that there is also a specified, minimum distance (currently 1.6 kilometres) between a patient's home and the nearest retail pharmacy. This law also exists in Austria for general physicians if the nearest pharmacy is more than 4 kilometers away, or where none is registered in the city.",What is the maximum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?,No answer,"{""answer"": ""4 kilometres""}",0.210322618484497
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Civil_disobedience,"Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments.",Some theories argue that civil disobedience is justified in regard to?,governmental entities,"{""answer"": ""governmental entities""}",1.0
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Packet_switching,"Telenet was the first FCC-licensed public data network in the United States. It was founded by former ARPA IPTO director Larry Roberts as a means of making ARPANET technology public. He had tried to interest AT&T in buying the technology, but the monopoly's reaction was that this was incompatible with their future. Bolt, Beranack and Newman (BBN) provided the financing. It initially used ARPANET technology but changed the host interface to X.25 and the terminal interface to X.29. Telenet designed these protocols and helped standardize them in the CCITT. Telenet was incorporated in 1973 and started operations in 1975. It went public in 1979 and was then sold to GTE.",Who founded Telnet,Larry Roberts,"{""answer"": ""Larry Roberts""}",1.0
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",University_of_Chicago,"In 1929, the university's fifth president, Robert Maynard Hutchins, took office; the university underwent many changes during his 24-year tenure. Hutchins eliminated varsity football from the university in an attempt to emphasize academics over athletics, instituted the undergraduate college's liberal-arts curriculum known as the Common Core, and organized the university's graduate work into its current[when?] four divisions. In 1933, Hutchins proposed an unsuccessful plan to merge the University of Chicago and Northwestern University into a single university. During his term, the University of Chicago Hospitals (now called the University of Chicago Medical Center) finished construction and enrolled its first medical students. Also, the Committee on Social Thought, an institution distinctive of the university, was created.",Why did Hutchins eliminate hospitals from the university?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Prime_number,"are prime. Prime numbers of this form are known as factorial primes. Other primes where either p + 1 or p ? 1 is of a particular shape include the Sophie Germain primes (primes of the form 2p + 1 with p prime), primorial primes, Fermat primes and Mersenne primes, that is, prime numbers that are of the form 2p ? 1, where p is an arbitrary prime. The LucasLehmer test is particularly fast for numbers of this form. This is why the largest known prime has almost always been a Mersenne prime since the dawn of electronic computers.",What test is especially useful for numbers of the form 2p - 1?,The LucasLehmer test,"{""answer"": ""Lucas–Lehmer test""}",0.8792726397514343
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Civil_disobedience,"Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue. Revolutionary civil disobedience is more of an active attempt to overthrow a government (or to change cultural traditions, social customs, religious beliefs, etc...revolution doesn't have to be political, i.e. ""cultural revolution"", it simply implies sweeping and widespread change to a section of the social fabric). Gandhi's acts have been described as revolutionary civil disobedience. It has been claimed that the Hungarians under Ferenc Deák directed revolutionary civil disobedience against the Austrian government. Thoreau also wrote of civil disobedience accomplishing ""peaceable revolution."" Howard Zinn, Harvey Wheeler, and others have identified the right espoused in The Declaration of Independence to ""alter or abolish"" an unjust government to be a principle of civil disobedience.",What is it called when there is an active attempt to overthrow a government or belief system?,Revolutionary civil disobedience,"{""answer"": ""Revolutionary civil disobedience.""}",0.9585028290748596
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Computational_complexity_theory,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm. The integer factorization problem is in NP and in co-NP (and even in UP and co-UP). If the problem is NP-complete, the polynomial time hierarchy will collapse to its first level (i.e., NP will equal co-NP). The best known algorithm for integer factorization is the general number field sieve, which takes time O(e(64/9)1/3(n.log 2)1/3(log (n.log 2))2/3) to factor an n-bit integer. However, the best known quantum algorithm for this problem, Shor's algorithm, does run in polynomial time. Unfortunately, this fact doesn't say much about where the problem lies with respect to non-quantum complexity classes.",What is the least well known algorithm associated with the the integer factorization problem?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Scottish_Parliament,"The first item of business on Wednesdays is usually Time for Reflection, at which a speaker addresses members for up to four minutes, sharing a perspective on issues of faith. This contrasts with the formal style of ""Prayers"", which is the first item of business in meetings of the House of Commons. Speakers are drawn from across Scotland and are chosen to represent the balance of religious beliefs according to the Scottish census. Invitations to address Parliament in this manner are determined by the Presiding Officer on the advice of the parliamentary bureau. Faith groups can make direct representations to the Presiding Officer to nominate speakers.",Invitations to address the House of Commons are determined by whom?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Prime_number,"A large body of mathematical work would still be valid when calling 1 a prime, but Euclid's fundamental theorem of arithmetic (mentioned above) would not hold as stated. For example, the number 15 can be factored as 3 · 5 and 1 · 3 · 5; if 1 were admitted as a prime, these two presentations would be considered different factorizations of 15 into prime numbers, so the statement of that theorem would have to be modified. Similarly, the sieve of Eratosthenes would not work correctly if 1 were considered a prime: a modified version of the sieve that considers 1 as prime would eliminate all multiples of 1 (that is, all other numbers) and produce as output only the single number 1. Furthermore, the prime numbers have several properties that the number 1 lacks, such as the relationship of the number to its corresponding value of Euler's totient function or the sum of divisors function.",If 15 were to be considered as prime what would the sieve of Eratosthenes yield for all other numbers?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.","Fresno,_California","Before World War II, Fresno had many ethnic neighborhoods, including Little Armenia, German Town, Little Italy, and Chinatown. In 1940, the Census Bureau reported Fresno's population as 94.0% white, 3.3% black and 2.7% Asian. (Incongruously, Chinatown was primarily a Japanese neighborhood and today Japanese-American businesses still remain). During 1942, Pinedale, in what is now North Fresno, was the site of the Pinedale Assembly Center, an interim facility for the relocation of Fresno area Japanese Americans to internment camps. The Fresno Fairgrounds was also utilized as an assembly center.","In 1942, what was North Fresno previously called?",Pinedale,"{""answer"": ""Pinedale""}",1.0
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Imperialism,"The correlation between capitalism, aristocracy, and imperialism has long been debated among historians and political theorists. Much of the debate was pioneered by such theorists as J. A. Hobson (18581940), Joseph Schumpeter (18831950), Thorstein Veblen (18571929), and Norman Angell (18721967). While these non-Marxist writers were at their most prolific before World War I, they remained active in the interwar years. Their combined work informed the study of imperialism and it's impact on Europe, as well as contributed to reflections on the rise of the military-political complex in the United States from the 1950s. Hobson argued that domestic social reforms could cure the international disease of imperialism by removing its economic foundation. Hobson theorized that state intervention through taxation could boost broader consumption, create wealth, and encourage a peaceful, tolerant, multipolar world order.",When were Joseph Schumpeter and Norman Angell at their most prolific writing period?,before World War I,"{""answer"": ""Before World War I.""}",0.9718657732009888
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Scottish_Parliament,"For the next three hundred years, Scotland was directly governed by the Parliament of Great Britain and the subsequent Parliament of the United Kingdom, both seated at Westminster, and the lack of a Parliament of Scotland remained an important element in Scottish national identity. Suggestions for a 'devolved' Parliament were made before 1914, but were shelved due to the outbreak of the First World War. A sharp rise in nationalism in Scotland during the late 1960s fuelled demands for some form of home rule or complete independence, and in 1969 prompted the incumbent Labour government of Harold Wilson to set up the Kilbrandon Commission to consider the British constitution. One of the principal objectives of the commission was to examine ways of enabling more self-government for Scotland, within the unitary state of the United Kingdom. Kilbrandon published his report in 1973 recommending the establishment of a directly elected Scottish Assembly to legislate for the majority of domestic Scottish affairs.",The only objective of the Kilbrandon Commission was what?,No answer,"{""answer"": ""to examine ways of enabling more self‑government for Scotland, within the unitary state of the United Kingdom.""}",0.0516027249395847
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Scottish_Parliament,"The first item of business on Wednesdays is usually Time for Reflection, at which a speaker addresses members for up to four minutes, sharing a perspective on issues of faith. This contrasts with the formal style of ""Prayers"", which is the first item of business in meetings of the House of Commons. Speakers are drawn from across Scotland and are chosen to represent the balance of religious beliefs according to the Scottish census. Invitations to address Parliament in this manner are determined by the Presiding Officer on the advice of the parliamentary bureau. Faith groups can make direct representations to the Presiding Officer to nominate speakers.",The first item of business in the House of Lords is usually what?,No answer,"{""answer"": ""No answer""}",1.0000001192092896
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Ctenophora,"Despite their soft, gelatinous bodies, fossils thought to represent ctenophores, apparently with no tentacles but many more comb-rows than modern forms, have been found in lagerstätten as far back as the early Cambrian, about 515 million years ago. The position of the ctenophores in the evolutionary family tree of animals has long been debated, and the majority view at present, based on molecular phylogenetics, is that cnidarians and bilaterians are more closely related to each other than either is to ctenophores. A recent molecular phylogenetics analysis concluded that the common ancestor of all modern ctenophores was cydippid-like, and that all the modern groups appeared relatively recently, probably after the CretaceousPaleogene extinction event 66 million years ago. Evidence accumulating since the 1980s indicates that the ""cydippids"" are not monophyletic, in other words do not include all and only the descendants of a single common ancestor, because all the other traditional ctenophore groups are descendants of various cydippids.",What event happened 66 million years ago?,CretaceousPaleogene extinction,"{""answer"": ""Cretaceous‑Paleogene extinction event""}",0.9146712422370912
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Economic_inequality,"In 2014, economists with the Standard & Poor's rating agency concluded that the widening disparity between the U.S.'s wealthiest citizens and the rest of the nation had slowed its recovery from the 2008-2009 recession and made it more prone to boom-and-bust cycles. To partially remedy the wealth gap and the resulting slow growth, S&P recommended increasing access to education. It estimated that if the average United States worker had completed just one more year of school, it would add an additional $105 billion in growth to the country's economy over five years.","If the average U.S. worker were to complete an additional year of school, what amount of growth would be generated over 5 years?",$105 billion,"{""answer"": ""$105 billion""}",1.0
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",Victoria_(Australia),"Victoria contains many topographically, geologically and climatically diverse areas, ranging from the wet, temperate climate of Gippsland in the southeast to the snow-covered Victorian alpine areas which rise to almost 2,000 m (6,600 ft), with Mount Bogong the highest peak at 1,986 m (6,516 ft). There are extensive semi-arid plains to the west and northwest. There is an extensive series of river systems in Victoria. Most notable is the Murray River system. Other rivers include: Ovens River, Goulburn River, Patterson River, King River, Campaspe River, Loddon River, Wimmera River, Elgin River, Barwon River, Thomson River, Snowy River, Latrobe River, Yarra River, Maribyrnong River, Mitta River, Hopkins River, Merri River and Kiewa River. The state symbols include the pink heath (state flower), Leadbeater's possum (state animal) and the helmeted honeyeater (state bird).",What is the Victoria state bird?,helmeted honeyeater,"{""answer"": ""helmeted honeyeater""}",1.0
"Given a title, a context paragraph, and a question, provide the answer that can be directly inferred from the context. If the context does not contain a clear answer, output exactly No answer. Do not add any explanation, commentary, or additional text. Output only the answer.",European_Union_law,"The primary law of the EU consists mainly of the founding treaties, the ""core"" treaties being the Treaty on European Union (TEU) and the Treaty on the Functioning of the European Union (TFEU). The Treaties contain formal and substantive provisions, which frame policies of the European Union institutions and determine the division of competences between the European Union and its member states. The TEU establishes that European Union law applies to the metropolitan territories of the member states, as well as certain islands and overseas territories, including Madeira, the Canary Islands and the French overseas departments. European Union law also applies in territories where a member state is responsible for external relations, for example Gibraltar and the Åland islands. The TEU allows the European Council to make specific provisions for regions, as for example done for customs matters in Gibraltar and Saint-Pierre-et-Miquelon. The TEU specifically excludes certain regions, for example the Faroe Islands, from the jurisdiction of European Union law. Treaties apply as soon as they enter into force, unless stated otherwise, and are generally concluded for an unlimited period. The TEU provides that commitments entered into by the member states between themselves before the treaty was signed no longer apply.[vague] All EU member states are regarded as subject to the general obligation of the principle of cooperation, as stated in the TEU, whereby member states are obliged not to take measure which could jeopardise the attainment of the TEU objectives. The Court of Justice of the European Union can interpret the Treaties, but it cannot rule on their validity, which is subject to international law. Individuals may rely on primary law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional.",What does the TEU not do?,No answer,"{""answer"": ""It does not rule on the validity of the treaties.""}",0.0683072209358215
